question,option_a,option_b,option_c,option_d,correct_answer,sub_topic,quiz_set
"Who used these reasons as an explanation as to why the colonies must declare their independence from Britain? (People are born with... unalienable rights / If a government abuses... create a new government / Vow to defend...)","Jefferson Davis","Thomas Jefferson","Stephen F. Austin","Daniel Webster","Thomas Jefferson","US - History","23-24"
"On June 7, 1776 ___ of Virginia introduced a key resolution to Congress that called the colonies ""free and independent states""...","William Dawes","Edward Braddock","Richard Henry Lee","Johnathan Edwards","Richard Henry Lee","US - History","23-24"
"How many grievances by the British King and others did the Declaration of Independence list?","25","20","36","27","27","US - History","23-24"
"___ was rung to announce the first reading of the Declaration of Independence, in Philadelphia on July 8, 1776.","Liberty Bell","Big Ben","Great Bell of Dhammazedi","Tsar Bell","Liberty Bell","US - History","23-24"
"How many states had to ratify the Bill of Rights for them to take effect?","One state","3/4 of the states","All of the states","2/3 of the states","3/4 of the states","US - History","23-24"
"When did the Bill of Rights become part of the Constitution?","1776","1863","1845","1791","1791","US - History","23-24"
"In which 1803 case did the Supreme Court rule that it had the power to abolish laws by declaring them unconstitutional?","Marbury v. Madison","Dred Scott v. Sandford","Plessy v. Ferguson","McCulloch v. Maryland","Marbury v. Madison","US - History","23-24"
"What effect did these weaknesses have on the ability of the national government to function? (Regarding ""Weaknesses of the Articles of Confederation"")","Other countries were eager to make alliances","Made trading with other countries easier","Weak at home and powerless in dealings with other countries","Powerful militarily","Weak at home and powerless in dealings with other countries","US - History","23-24"
"Who became the leader of the 1780s movement that demanded lower taxes and the closing of courts that punished debtors?","Nathaniel Bacon","Oliver Hazard Perry","George Rogers Clark","Daniel Shays","Daniel Shays","US - History","23-24"
"Why can the Northwest Ordinance be considered a successful action by Congress under the Articles of Confederation?","Became the first representative assembly","Policy under which the government backs every dollar with gold","It provided a workable plan for converting new territories into states","A movement aimed at improving the lives of the poor","It provided a workable plan for converting new territories into states","US - History","23-24"
"Who is credited with this quote? ""The eyes of the United States are turned upon this assembly...""","George Mason","William Hooper","John Morton","Benjamin Harrison","George Mason","US - History","23-24"
"What was the Three-Fifths Compromise?","Plan to have two houses of Congress","The plan for how enslaved people were to be counted for taxation and population","Policy of U.S. opposition to any European interference","How the transcontinental railroad was to be funded","The plan for how enslaved people were to be counted for taxation and population","US - History","23-24"
"Framers were concerned that too much power might fall into the hands of a single group. To avoid this problem, what division of duties system did the Framers turn?","Separation of powers","Checks and balances","Federalism","Republicanism","Separation of powers","US - History","23-24"
"How can a person under the age of 18 be a good citizen?","Serve on a jury","Vote","Writing to your elected officials about issues that concern you","Serve in the military","Writing to your elected officials about issues that concern you","US - History","23-24"
"Who is this national political leader? (Image of Kamala Harris)","Dr. Janet Yellen","Deb Haaland","Gina Raimondo","Kamala Harris","Kamala Harris","US - History","23-24"
"___ is the U. S. Attorney General.","Lloyd Austin","Merrick Garland","Antony Blinken","Tom Vilsack","Merrick Garland","US - History","23-24"
"What document asked the King to restore harmony between Britain and the colonies?","Magna Carta","Mayflower Compact","Albany Plan of Union","Olive Branch Petition","Olive Branch Petition","US - History","23-24"
"Who are Mercenaries?","Professional soldier hired to fight for a foreign country","common goal","Supporters of the Constitution","A person who buys huge areas of land for a low price","Professional soldier hired to fight for a foreign country","US - History","23-24"
"How were the concerns of the colonies answered by the King of England?","Promised to do better","Repeated petitions have been answered only by repeated injury","Sent emissaries to assist colonists","Contributed large amounts of money","Repeated petitions have been answered only by repeated injury","US - History","23-24"
"What is the Preamble to the United States Constitution?","First formal proposal to unite the American colonies","Compromise that might have prevented secession","A brief introductory statement of the Constitution's fundamental purposes","A written statement issued by a grand jury","A brief introductory statement of the Constitution's fundamental purposes","US - History","23-24"
"Who has used the Preamble as reliable evidence of the Founding Father's intentions?","Business leaders","Clergy","Supreme Court","Soldiers","Supreme Court","US - History","23-24"
"What is an example of how this nation has been able to ""provide for the common defense""?","U.S. coins, paper money","Army","Jury system","Federal Election Commission","Army","US - History","23-24"
"Which Amendment to the Constitution guarantees people this right? (Image of soldiers with muskets)","Two","Six","Four","Nine","Two","US - History","23-24"
"Probable cause must be present for a ___ to be issued.","Armistice","War bond","Patent","Warrant","Warrant","US - History","23-24"
"How did Taiwan prepare its people for democracy?","Began by electing village, county and city governments","Appointed national leaders","Allowed leaders to ascend to office through heredity","Church gave approval to leaders","Began by electing village, county and city governments","World - Geography","23-24"
"Where do our laws, family structure, political opinions and courts have their roots?","China","Ancient Greece","Ancient Japan","Egypt","Ancient Greece","World - Geography","23-24"
"What philosopher believed that government should serve people and protect them and their freedom?","Karl Marx","Plato","Jean Jacques Rosseau","Rene Descartes","Jean Jacques Rosseau","World - Geography","23-24"
"How are rights different from responsibilities?","Cost in money","Age of participants","Technology needed","Rights are protections guaranteed to you. Responsibilities are duties you owe","Rights are protections guaranteed to you. Responsibilities are duties you owe","US - History","23-24"
"What is a reason for the success of the U.S. Constitution?","Weak central government","Lack of a Bill of Rights","It can be changed, when necessary, to meet the changing needs","No judicial branch","It can be changed, when necessary, to meet the changing needs","US - History","23-24"
"Where were these leaders instrumental in bringing democracy? (Indira Gandhi, Mohandas Gandhi, Jawaharial Nehru)","India","Spain","Russia","Nepal","India","World - Geography","23-24"
"What was once called the Hidden Holy Land because of its isolation?","China","Bhutan","Germany","Chile","Bhutan","World - Geography","23-24"
"Who started most of the famous universities of Europe?","Large corporations","State governments","Individuals","Christian scholars","Christian scholars","World - Geography","23-24"
"What is deforestation?","Method in which the land is left unplanted","Process of moving water and wind across the earth's surface","Strips of land cut out of a hillside like stair steps","Widespread cutting of trees","Widespread cutting of trees","World - Geography","23-24"
"Why is Luxembourg so attractive to foreign countries?","Location and people are multilingual","Precious gems","Climate","Tourism","Location and people are multilingual","World - Geography","23-24"
"The executive branch of the Texas government has more than ___ agencies...","100","150","200","250","200","Texas - Citizenship","23-24"
"Where is the center of state government in Texas?","Houston","Austin","Dallas","Washington-on-the-Brazos","Austin","Texas - Citizenship","23-24"
"Who was the first woman elected to statewide office in Texas?","Annie Webb Blanton","Mae Jemison","Kay Granger","Selena Perez","Annie Webb Blanton","Texas - Citizenship","23-24"
"Which title finishes this list? (First Lady of Texas 1994-2000, Founded the Texas Book Festival, First Lady of the U.S. 2001-2009)","Lady Bird Johnson","Laura Bush","Elisabet Ney","Sheila Jackson Lee","Laura Bush","Texas - Citizenship","23-24"
"What office does this Texas political official hold? (Image of Dan Patrick)","Governor","Senator","Lieutenant Governor","Commissioner of Agriculture","Lieutenant Governor","Texas - Citizenship","23-24"
"Who was appointed to serve Texas as its current Secretary of State?","Kay Bailey Hutchison","Lina Hidalgo","Heidi Cruz","Jane Nelson","Jane Nelson","Texas - Citizenship","23-24"
"The Virginia House of Burgesses was the first ___ in the British colonies.","elected legislature","bicameral assembly","appointed government","written constitution","elected legislature","US - History","24-25-set1"
"The individuals that signed the Mayflower Compact were all ___.","clergy","soldiers","Puritans","male","male","US - History","24-25-set1"
"The Instructions for the Virginia Colony stated that a river headed to the Northwest direction was the best choice to travel because ___.","It was the fastest way back to Europe","It was the direction of Canada","It was most likely to lead to the other sea","It was where the older colonies were located","It was most likely to lead to the other sea","US - History","24-25-set1"
"Limited governments feature all of the following characteristics EXCEPT ___.","ensuring peaceful transitions of power","promoting economic freedom","protecting human rights","a single political party","a single political party","US - History","24-25-set1"
"India's economy features a large population. This allows the economy to provide ___ for service industries from around the world.","natural resources","labor","capital","technology","labor","World - Economics","24-25-set1"
"In an unlimited government, ___ and there are no limits on a ruler's authority.","laws only apply to authority figures","laws apply equally to everyone","laws are decided by the people","laws are used to control the people","laws are used to control the people","World - Geography","24-25-set1"
"The Speaker of the United States House of Representative is ___.","Kevin McCarthy","Nancy Pelosi","Hakeem Jefferies","Mike Johnson","Mike Johnson","US - History","24-25-set1"
"The Spanish government was a ___ when Texas was a colony.","republic","theocracy","democracy","monarchy","monarchy","Texas - Citizenship","24-25-set1"
"Most of the British colonies were ___ with members of the community elected to make laws.","under direct rule","royal charters","self-governing","run by a board of directors","self-governing","US - History","24-25-set1"
"The Jamestown colony was established in ___.","1620","1598","1607","1637","1607","US - History","24-25-set1"
"Currently, ___ serves as the Vice President of the United States.","Kamala Harris","Lisa Murkowski","Nikki Haley","Nancy Pelosi","Kamala Harris","US - History","24-25-set1"
"Examples of cash crops in the southern colonies include ___.","wheat and corn","beef and pork","rye and oats","cotton and tobacco","cotton and tobacco","US - Economics","24-25-set1"
"A(n) ___ best helps advanced economies develop technology and continue to advance.","limited supply of capital","centralized government","educated labor force","large supply of natural resources","educated labor force","World - Economics","24-25-set1"
"John Smith was a leader of ___ that helped them survive the harsh winters they faced after starting their settlement.","Hartford","Jamestown","Roanoke","Plymouth","Jamestown","US - History","24-25-set1"
"In societies with representative governments, there are three main categories of rights that are protected: personal rights, political rights, and ___.","religious rights","voting rights","educational rights","economic rights","economic rights","US - Economics","24-25-set1"
"The economic traditions of ___ influenced the colonists in North America to develop a free enterprise system for their economy.","England","the Netherlands","France","Spain","England","US - Economics","24-25-set1"
"The U.S. economic system features significantly less ___ than a communist system.","consumer choice","government control","voluntary exchange","private property","government control","US - Economics","24-25-set1"
"An agricultural product that is farmed for its value for sale rather than its use to the farmer is known as ___.","subsistence farming","a bumper crop","a cash crop","livestock","a cash crop","US - Economics","24-25-set1"
"March 2, 1836 is celebrated in the state of Texas because it is when ___.","Texas defeated Mexican troops at Goliad","Texas was admitted into the United States","Texas declared independence from Mexico","Texas left the Spanish empire","Texas declared independence from Mexico","Texas - Citizenship","24-25-set1"
"The British began colonizing the east coast of North America partially to compete with the colonies already started by the Spanish and ___.","Germans","Portuguese","Belgians","French","French","US - History","24-25-set1"
"The land area that was authorized as a colony by The Charter of Massachusetts Bay was located between the Merrimack and the ___ Rivers.","Hudson","James","Potomac","Charles","Charles","US - History","24-25-set1"
"The ___ was a conflict that took place in the North American colonies of France and Britain from 1754 to 1763.","War of Spanish Succession","French Revolution","French and Indian War","Anglo-French War","French and Indian War","US - History","24-25-set1"
"According to The Instructions for the Virginia Colony, ___ were not to be allowed to be between the settlement and the sea coast.","large herd animals","Native inhabitants","enemy fortifications","farming lands","Native inhabitants","US - History","24-25-set1"
"The Mayflower Compact was signed on November 11, ___.","1607","1639","1620","1585","1620","US - History","24-25-set1"
"The colonies in North America were able to develop an economic system based on free enterprise largely due to their access to large amounts of ___.","land and natural resources","skilled labor","capital and investments","roads and canals","land and natural resources","US - Economics","24-25-set1"
"All of the above describe ___. (First person to write detailed accounts about Texas, Explored for Spain, Survived Narváez expedition)","Francisco Coronado","Hernán Cortés","Hernando de Soto","Cabeza de Vaca","Cabeza de Vaca","Texas - Citizenship","24-25-set1"
"Under the free enterprise system in the United States, key economic questions are answered by ___.","the elite","the marketplace","business leaders","the government","the marketplace","US - Economics","24-25-set1"
